Sector_ID,Case_count_2007,Case_count_2008,Case_count_2009,Case_count_2010,Case_count_2011,Case_count_2012,Case_count_2013,Case_count_2014,Case_count_2015,Case_count_2016,Case_count_2017,Case_count_2018,Case_count_2019,Case_count_2020
CO97,0,0,0,0,0,0,3,0,3,2,0,0,0,0
CO98,0,0,0,0,0,0,0,0,0,0,0,2,5,0
CO99,3,0,0,2,0,0,3,1,0,2,0,0,0,0
CO100,0,0,0,3,0,0,1,9,3,0,0,0,0,0
CO101,0,0,2,0,0,0,4,1,2,0,0,0,0,2
CO102,0,0,0,0,0,0,2,1,2,3,0,2,0,46
CO103,0,0,0,0,0,0,0,4,1,0,0,0,3,2
CO104,5,0,0,0,0,0,12,24,3,0,0,12,6,79
CO105,0,0,0,0,0,0,0,4,0,0,0,6,0,3
CO106,0,0,0,0,0,0,0,1,0,0,0,4,0,12
CO107,0,0,0,0,0,0,5,3,0,0,0,0,17,7
CO108,0,0,0,0,0,0,0,0,0,0,0,2,12,12
CO109,0,0,0,0,0,0,7,13,0,2,0,8,5,48
CO110,0,0,2,0,0,0,1,1,0,2,0,2,5,34
CO111,0,0,0,0,0,0,2,1,0,2,0,0,0,3
CO112,0,0,0,0,0,0,3,2,3,0,0,0,0,0
CO113,0,0,0,0,0,0,0,3,0,0,0,0,0,0
CO114,0,0,2,0,0,0,0,0,0,3,0,0,0,4
CO115,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO116,0,0,2,0,0,0,0,0,0,0,0,0,0,0
CO117,0,1,0,0,0,0,0,0,2,2,0,2,2,0
CO118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO119,0,0,2,2,0,0,1,1,2,2,0,0,0,4
CO120,0,0,0,2,0,0,2,0,0,0,0,0,0,0
CO121,0,2,0,0,0,0,6,7,1,10,0,2,6,6
CO122,0,0,0,0,2,0,16,1,0,4,0,0,10,6
CO123,0,1,0,0,6,0,15,3,4,8,0,0,0,19
CO124,1,5,0,0,0,0,4,7,6,15,4,4,10,36
CO125,2,0,0,0,0,2,3,11,4,16,0,0,6,22
CO127,0,0,0,3,0,0,0,2,3,0,0,5,2,0
CO128,1,1,0,0,0,0,3,10,3,0,0,4,3,7
CO130,8,7,10,34,25,8,111,49,53,94,4,9,123,221
CO132,0,0,2,0,0,1,10,8,12,2,0,0,6,52
CO133,0,0,0,0,0,2,0,0,6,0,0,0,4,3
CO134,2,2,12,2,4,1,7,6,8,17,0,0,5,9
CO135,0,0,0,0,0,0,0,0,0,0,0,0,0,2
CO137,2,2,6,0,0,3,2,15,3,2,1,0,4,30
CO138,0,0,0,0,0,1,4,2,0,0,0,0,6,31
CO139,2,0,0,0,0,0,0,0,3,0,0,0,2,2
CO140,0,0,0,0,2,0,2,2,12,5,0,0,2,47
CO141,0,3,0,0,0,0,4,1,0,0,1,0,6,23
CO142,2,0,0,5,0,0,2,3,0,8,0,0,3,34
CO143,0,0,0,0,4,0,1,0,0,4,0,1,2,22
CO144,2,0,0,0,0,0,0,0,0,0,0,0,10,4
CO145,0,0,0,0,0,2,1,0,0,0,0,0,0,0
CO146,0,0,0,2,0,0,0,0,0,0,2,0,0,29
CO147,0,0,0,0,0,0,0,3,0,0,0,0,12,0
CO148,0,1,0,2,0,1,1,1,2,0,0,0,4,4
CO149,0,0,0,0,0,0,1,0,3,6,0,0,22,8
CO150,0,0,0,0,0,0,0,1,0,10,0,3,0,2
CO151,0,0,0,0,0,0,4,0,3,2,0,3,27,4
CO152,0,0,0,0,2,0,10,5,3,0,0,0,26,49
CO153,0,0,0,2,2,0,1,5,0,2,0,0,6,20
CO154,0,1,0,0,0,0,2,2,3,9,0,2,10,26
CO155,0,0,0,0,0,0,2,0,0,8,0,0,6,14
CO157,0,1,0,0,3,0,0,4,6,0,0,6,2,10
CO158,0,0,3,0,1,0,9,5,2,8,0,0,4,18
CO159,0,0,0,0,0,0,0,3,0,4,0,8,0,12
CO160,0,0,16,0,0,0,0,7,0,0,0,10,0,14
CO161,0,0,0,0,3,0,0,8,0,0,0,3,4,15
CO162,0,0,0,0,0,0,0,1,0,0,0,0,0,0
CO163,0,0,0,0,0,0,0,0,0,0,0,0,0,8
CO164,0,0,0,0,0,0,0,0,0,0,0,0,20,16
CO165,0,0,0,0,0,0,0,0,0,0,0,0,4,14
CO166,0,0,0,0,0,0,0,0,0,3,0,0,4,0
CO167,0,0,0,0,0,0,0,2,0,0,0,0,0,10
CO168,0,0,0,0,0,2,0,0,5,15,0,0,80,6
CO169,0,0,0,0,0,0,2,1,0,0,0,0,0,4
CO170,0,0,0,0,0,0,0,0,0,2,0,0,0,0
CO171,0,0,0,0,0,0,0,0,0,0,0,0,8,0
CO172,0,0,0,0,0,0,1,0,2,0,0,0,0,2
CO173,0,0,0,0,0,0,4,3,0,0,0,2,2,0
CO174,0,0,0,0,0,0,0,0,2,0,0,0,0,0
CO175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO176,0,0,0,0,0,0,0,2,1,0,0,0,4,7
CO178,0,0,0,0,0,0,0,1,2,2,0,0,2,4
CO179,0,0,0,0,0,0,0,2,10,6,0,6,22,15
CO180,0,0,0,0,0,0,0,0,0,1,0,1,2,0
CO181,0,0,0,0,0,6,3,1,0,0,0,0,25,8
CO182,0,0,0,0,2,0,0,0,6,6,0,0,54,0
CO183,0,0,0,0,0,0,1,1,0,2,0,0,13,0
CO184,0,0,0,0,0,0,0,2,2,2,0,0,5,12
CO185,0,0,0,0,0,0,2,2,0,0,0,0,38,8
CO186,0,0,0,0,0,0,6,4,1,18,0,0,27,12
CO187,0,0,36,0,3,1,17,2,7,0,0,0,38,9
CO188,0,2,0,0,0,0,0,0,0,0,0,0,3,3
CO189,0,0,0,0,0,0,0,1,1,7,0,2,4,4
CO190,0,0,0,0,0,0,1,0,0,0,0,0,0,8
CO191,0,0,0,0,0,0,1,0,0,0,0,0,0,0
CO192,0,0,0,0,0,0,3,0,0,0,0,0,3,0
